TaskNumber,Summary,Priority,RaisedByID,AssignedToID,AuthorisedByID,StatusCode,ProjectCode,ProjectBreakdownCode,Category,SubCategory,HoursEstimate,HoursActual,DeveloperID,DeveloperHoursActual,TaskPerformance,DeveloperPerformance
12808,"SiP Admin Tasks",1,58,13,NA,"COMPLETED","PC18","PBC60","Management","Project Management",0.5,0.5,13,0.5,0,0
12809,"CCC Support - Aid Close Process",1,13,13,NA,"COMPLETED","PC2","PBC53","Development","Support",1,1.25,13,1.25,-0.25,-0.25
12810,"YYY ZZZ XXXX Conversion - Eros Raw Control Date Discrepencies",1,24,24,NA,"CHRONICLE","PC17","PBC75","Development","Conversion",14,8,24,8,6,6
12811,"LinkEX Support / Bug fix, error with the Project report",3,42,42,NA,"COMPLETED","PC18","PBC33","Development","Bug",2.5,2.5,42,2.5,0,0
12812,"YYY ZZZ Synd XXXX/XXXX - Periiod Close Support",1,13,13,NA,"COMPLETED","PC2","PBC72","Development","Support",1.5,1.5,13,1.5,0,0
12813,"Migrate YouLink HR SourceSafe To TFS",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Release",3.5,4.44,58,4.44,-0.94,-0.94
12814,"Syndicate XXXX Ticket 42075 - CCC SCMS data issue ",1,24,24,NA,"CHRONICLE","PC2","PBC72","Operational","Client Support",1.5,1,24,1,0.5,0.5
12815,"New Version of YouLink HR testing and preparing demo database for next demo.",3,42,42,NA,"COMPLETED","PC5","PBC51","Management","Marketing",2,2,42,2,0,0
12816,"Investigate MVP Framework & Generator",1,58,58,NA,"FINISHED","PC9","PBC11","Development","Enhancement",910,208.86,2,8.7,701.14,NA
12816,"Investigate MVP Framework & Generator",1,58,58,NA,"FINISHED","PC9","PBC11","Development","Enhancement",910,208.86,58,200.16,701.14,709.84
12817,"Demo set up and demo to CCC",3,42,42,NA,"COMPLETED","PC18","PBC31","Management","Marketing",4,4,42,4,0,0
12818,"Team meeting on Silverlight and Microsoft",3,42,58,NA,"FINISHED","PC18","PBC33","Management","Marketing",2,11.5,2,2,-9.5,NA
12818,"Team meeting on Silverlight and Microsoft",3,42,58,NA,"FINISHED","PC18","PBC33","Management","Marketing",2,11.5,24,3.5,-9.5,NA
12818,"Team meeting on Silverlight and Microsoft",3,42,58,NA,"FINISHED","PC18","PBC33","Management","Marketing",2,11.5,42,2,-9.5,NA
12818,"Team meeting on Silverlight and Microsoft",3,42,58,NA,"FINISHED","PC18","PBC33","Management","Marketing",2,11.5,53,2,-9.5,NA
12818,"Team meeting on Silverlight and Microsoft",3,42,58,NA,"FINISHED","PC18","PBC33","Management","Marketing",2,11.5,58,2,-9.5,0
12819,"E-HR V2 Client - CCC 2012",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Support",35,3.87,58,3.87,31.13,31.13
12820,"YouLink HR: Security Change Allow Duplicate EMail Addresses across Companies",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Enhancement",28,13.51,58,13.51,14.49,14.49
12821,"YouLink HR: Client Setup CCC",1,42,58,NA,"FINISHED","PC5","PBC14","Development","Support",2,1.62,58,1.62,0.38,0.38
12822,"Preparing Demo to CCC Board",3,23,42,NA,"COMPLETED","PC5","PBC29","Management","Marketing",7,7.5,42,7.5,-0.5,-0.5
12823,"Website Deployment",5,53,53,NA,"CHRONICLE","PC5","PBC14","Development","Release",14,0.5,53,0.5,13.5,13.5
12824,"Bug with Lesley Saunders's system, multiple authorisation managers",3,42,42,NA,"COMPLETED","PC5","PBC51","Management","Client Support",3,3,42,3,0,0
12825,"YYY ZZZ Ticket #42430 - CCC SCMS data issue - XXXX Iris Toren Query USM data issue",1,24,24,NA,"CHRONICLE","PC2","PBC72","Operational","Client Support",1,1,24,1,0,0
12826,"E-HR V2 Client - CCC 2012",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Support",35,6.86,42,0.75,28.14,NA
12826,"E-HR V2 Client - CCC 2012",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Support",35,6.86,58,6.11,28.14,28.89
12827,"YouLink HR testing - Q&A",3,42,42,NA,"CHRONICLE","PC5","PBC51","Development","Research",35,5.75,42,5.75,29.25,29.25
12828,"YYY ZZZ Warehouse Syndicate XXXX Help YYY ZZZ Ticket Number 42650 ",1,24,24,NA,"CHRONICLE","PC2","PBC72","Operational","Client Support",1.5,1.5,24,1.5,0,0
12829,"HTML5-ify the company websites",5,53,53,NA,"CHRONICLE","PC5","PBC14","Development","Enhancement",10.5,11.5,53,11.5,-1,-1
12830,"E-HR v2 Client - CCC 2012",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Support",35,37.44,58,37.44,-2.44,-2.44
12831,"DB Training - YYY ZZZ Meeting",1,2,58,NA,"FINISHED","PC18","PBC33","Management","Staff Management",1,0.5,2,0.25,0.5,NA
12831,"DB Training - YYY ZZZ Meeting",1,2,58,NA,"FINISHED","PC18","PBC33","Management","Staff Management",1,0.5,58,0.25,0.5,0.75
12832,"e-HR v2 support issues",3,42,42,NA,"CHRONICLE","PC5","PBC51","Management","Client Support",35,3.5,42,3.5,31.5,31.5
12833,"YYY ZZZ - Meeting to discuss Reconciliation Files",1,13,13,NA,"CHRONICLE","PC17","PBC75","Development","Conversion",1.5,3,13,1.5,-1.5,0
