States and territories,Total foreign born,Africa,"Asia (except China, Japan, and India)",Atlantic Islands,Australia,Austria,Belgium,Bohemia,Canada (English) (includes Newfoundland),Canada (French) (includes Newfoundland),Central America,China,Cuba,Denmark,England,Europe (not otherwise specified),Finland,France,Germany,Greece,Holland,Hungary,India,Ireland,Italy,Japan,Luxemburg,Mexico,Norway,Pacific Islands (except Phillipine Islands),Poland (Austrian),Poland (German),Poland (Russian),Poland (unknown),Portugal,Romania,Russia,United Kingdom,South America,Spain,Sweden,Switzerland,Turkey,Wales,West Indies (except Cuba and Puerto Rico),Other Countries,Born at Sea
Florida,28832,27,55,109,17,91,18,20,1111,88,28,118,6744,204,2231,32,42,262,1812,98,52,37,24,797,1707,1,0,84,235,8,5,4,10,8,37,115,220,434,58,1084,561,118,14,169,4910,18,22
Georgia,12403,50,93,5,16,203,25,23,679,80,16,184,58,88,1514,41,10,249,3407,191,38,166,12,2293,218,1,0,14,155,7,4,28,118,19,12,86,1232,417,37,65,204,180,21,65,99,9,21
Hawaii,90780,22,5,1156,130,225,18,0,839,12,7,21741,4,72,789,0,28,100,1154,55,19,5,15,225,58,56234,0,24,198,593,0,0,0,72,6512,2,58,427,33,202,140,28,4,21,26,10,67
Idaho,24604,20,17,3,24,294,42,81,2528,395,2,1411,6,1626,3943,8,292,194,2974,9,50,87,5,1633,779,1305,4,28,1173,24,2,18,25,6,35,1,124,796,6,77,2822,1017,8,732,4,5,29
Illinois,966747,131,577,362,412,18212,4394,38570,41466,9129,163,1462,110,15686,64890,158,859,7787,332169,1570,21916,6734,133,114563,23528,102,421,156,29979,70,10291,37491,17083,3081,200,312,28707,20021,181,227,99147,9088,286,4364,218,162,736
Indiana,142121,27,202,7,61,2089,2576,526,4980,948,7,201,12,783,10874,71,109,2984,73546,82,1678,1379,18,16806,1327,6,18,43,384,15,407,4265,1058,387,4,64,1215,2805,23,75,4673,3472,74,2083,24,45,232
Indian Territory,4858,2,35,0,8,208,43,24,832,48,1,27,1,88,779,4,2,216,842,2,12,20,2,897,578,0,0,64,31,2,1,8,192,8,1,8,200,404,1,6,88,63,8,175,10,0,7
Iowa,305920,28,127,11,111,2309,491,10809,14168,1519,14,102,12,17102,21027,30,47,1905,123162,18,9388,453,42,28321,1198,11,705,29,25631,21,38,145,457,144,2,84,1998,6425,27,21,29875,4342,93,3091,60,42,315
Kansas,126685,22,45,9,82,3517,985,3039,7053,1485,4,38,8,2914,13283,17,44,2012,39501,17,875,650,81,11516,987,2,59,71,1477,12,80,188,432,61,20,81,11019,4219,64,89,15144,3387,37,2005,29,20,165
Kentucky,50249,24,160,4,57,475,77,52,1072,136,56,46,15,77,3256,82,6,988,27555,24,186,146,10,9874,679,8,4,19,84,2,16,30,582,40,1,22,1076,703,7,21,222,1929,17,387,13,16,63
Louisiana,52903,66,301,7,50,765,315,30,781,253,150,554,319,216,2068,38,73,6500,11839,84,78,148,18,6486,17431,12,2,488,189,11,8,27,110,28,94,16,692,399,112,583,259,523,290,126,224,12,74
