Index,Unified Technology Name,dist1995,dist1996,dist1997,dist1998,dist1999,dist2000,dist2001,dist2002,dist2003,dist2004,dist2005,dist2006,dist2007,dist2008,dist2009,dist2010,dist2011,dist2012,dist2013,dist2014,dist2015,dist2016,dist2017,dist2018,dist2019,time1995,time1996,time1997,time1998,time1999,time2000,time2001,time2002,time2003,time2004,time2005,time2006,time2007,time2008,time2009,time2010,time2011,time2012,time2013,time2014,time2015,time2016,time2017,time2018,time2019,name1995,name1996,name1997,name1998,name1999,name2000,name2001,name2002,name2003,name2004,name2005,name2006,name2007,name2008,name2009,name2010,name2011,name2012,name2013,name2014,name2015,name2016,name2017,name2018,name2019,Technology Category
74,E-Tags/Passive RFID,,,,,,,,0.17,0.405,0.53,0.665,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,INTP,5T10,,,,,,,,,,,,,,,,,,,,,,E-tags,Passive RFID,,Passive RFID,,,,,,,,,,,,,,,Sensing/Tracking
75,Bluetooth Cable Replacement,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,Bluetooth Cable Replacement,,,,,,,,,,,,,,,,,Wireless Technology
76,Holographic storage,,,,,,,,,0.655,,,,,,,,,,,,,,,,,,,,,,,,,OBS,,,,,,,,,,,,,,,,,,,,,,,,,Holographic storage,,,,,,,,,,,,,,,,,Computer Architecture
77,MEMS,,,,,,,,,0.615,,,,,,,,,,,,,,,,,,,,,,,,,LT2,,,,,,,,,,,,,,,,,,,,,,,,,Microelectromechanical Systems,,,,,,,,,,,,,,,,,Physical Actuation
78,802.11g,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,LT2,,,,,,,,,,,,,,,,,,,,,,,,,802.11g,,,,,,,,,,,,,,,,,Wireless Technology
79,MMS (multimedia text),,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,2T5,,,,,,,,,,,,,,,,,,,,,,,,,MMS (multimedia text),,,,,,,,,,,,,,,,,Communications
80,XBRL,,,,,,,,,0.455,0.61,0.655,,,,,,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,,,,,,,,,,,,,,,,,,,,,,,Extensible Business Reporting Language,XBRL,XBRL,,,,,,,,,,,,,,,Financial Technology
81,Bluetooth Networking,,,,,,,,,0.445,,,,,,,,,,,,,,,,,,,,,,,,,OBS,,,,,,,,,,,,,,,,,,,,,,,,,Bluetooth Networking,,,,,,,,,,,,,,,,,Networking Technology
82,WS-Enabled Business Models,,,,,,,,,0.425,0.475,0.565,,,,,,,,,,,,,,,,,,,,,,,5T10,5T10,5T10,,,,,,,,,,,,,,,,,,,,,,,Web-Services-Enabled Business Models,Web-Services-Enabled Business Models,WS-Enabled Business Models,,,,,,,,,,,,,,,Methodology
83,Tablet PCs,,,,,,,,,0.415,0.58,0.645,0.63,0.675,0.71,0.71,0.96,,,,,,,,,,,,,,,,,,2T5,2T5,2T5,2T5,INTP,2T5,2T5,LT2,,,,,,,,,,,,,,,,,,Tablet PC,Tablet PCs,Tablet PCs,Tablet PCs,,Tablet PCs,Tablet PCs,Pen-Centric Tablet PCs,,,,,,,,,,Mobile Technology
